INCIDENT_YEAR,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,INCIDENT_COUNT,,,,,,,,
1899,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1900,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1901,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1902,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1903,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1904,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1905,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1906,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1907,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1908,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1909,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1910,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1911,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1912,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1913,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1914,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1915,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1916,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1917,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1918,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1919,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1920,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1921,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1922,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1923,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1924,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1925,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1926,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1927,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1928,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1929,Great White Shark,Carcharodon carcharias ,4,,,,,,,,
1930,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1931,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1932,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1933,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1934,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1935,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1936,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1937,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1938,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1939,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1940,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1941,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1942,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1943,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1944,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1945,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1946,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1947,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1948,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1949,Great White Shark,Carcharodon carcharias ,4,,,,,,,,
1950,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1951,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1952,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1953,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1954,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1955,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
